iter	Logloss
0	0.6751210463
1	0.660026365
2	0.6440634485
3	0.6309144818
4	0.6161594012
5	0.5994324674
6	0.5891957399
7	0.5752345205
8	0.5615883126
9	0.5482828507
10	0.535782433
11	0.526217328
12	0.5138700035
13	0.5018712058
14	0.4924697034
15	0.4816467757
16	0.4737241294
17	0.4632016618
18	0.4539030298
19	0.4456529428
20	0.4382577858
21	0.4300840264
22	0.4243259725
23	0.4158753991
24	0.408675238
25	0.4028064315
26	0.3943174248
27	0.388608482
28	0.3807559655
29	0.3736906073
30	0.3661738853
31	0.3594236732
32	0.354871973
33	0.3479790761
34	0.3418112917
35	0.3380845093
36	0.3322531256
37	0.3275779067
38	0.3234215204
39	0.318057096
40	0.3131064442
41	0.3086032152
42	0.3037166638
43	0.3006292684
44	0.2959415528
45	0.2920725572
46	0.2877834564
47	0.2848029063
48	0.2810662714
49	0.2773489036
50	0.2736227949
51	0.2707266565
52	0.2684956902
53	0.265612638
54	0.262147714
55	0.2592643081
56	0.2559494456
57	0.2540205225
58	0.2520737469
59	0.2499949137
60	0.2480114733
61	0.2447887025
62	0.2425624014
63	0.2409178374
64	0.2379170433
65	0.2355796864
66	0.2330813208
67	0.2307421787
68	0.2287399595
69	0.2268475834
70	0.2246593618
71	0.2223906191
72	0.2211061356
73	0.219501268
74	0.2178278033
75	0.2156582931
76	0.2139954725
77	0.212690745
78	0.2108451389
79	0.2095104495
80	0.2082422522
81	0.207350472
82	0.2059666379
83	0.2051537453
84	0.2039762249
85	0.2025081643
86	0.2013416417
87	0.2002089208
88	0.1989481339
89	0.1975774365
90	0.1964792079
91	0.1956411197
92	0.1945608783
93	0.1934442583
94	0.1921215942
95	0.1911019163
96	0.1898917731
97	0.1887514565
98	0.1882246577
99	0.1874310155
