iter	Passed	Remaining
0	53	5248
1	63	3133
2	71	2296
3	73	1760
4	84	1601
5	88	1386
6	90	1197
7	98	1134
8	100	1019
9	103	935
10	112	910
11	115	848
12	118	794
13	121	748
14	126	714
15	129	679
16	134	654
17	136	624
18	138	590
19	140	562
20	142	535
21	143	510
22	146	492
23	150	475
24	154	463
25	156	446
26	162	440
27	166	428
28	170	418
29	173	405
30	175	389
31	176	375
32	179	364
33	182	354
34	185	344
35	188	334
36	189	323
37	191	312
38	193	303
39	195	293
40	197	283
41	199	274
42	203	269
43	208	265
44	211	258
45	213	250
46	215	242
47	216	234
48	218	227
49	220	220
50	221	212
51	223	205
52	224	199
53	227	193
54	229	187
55	232	182
56	233	176
57	235	170
58	237	165
59	248	165
60	253	161
61	255	156
62	258	151
63	263	147
64	265	142
65	267	137
66	270	133
67	274	129
68	277	124
69	281	120
70	285	116
71	292	113
72	294	108
73	296	104
74	298	99
75	301	95
76	304	90
77	308	87
78	310	82
79	313	78
80	318	74
81	322	70
82	326	66
83	332	63
84	335	59
85	338	55
86	340	50
87	344	47
88	346	42
89	351	39
90	352	34
91	356	30
92	358	27
93	361	23
94	365	19
95	366	15
96	368	11
97	375	7
98	378	3
99	381	0
